Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,140.2,-105.65,180,bottom
C2,100nF,C_0603_1608Metric,154.3,-108.5,0,bottom
C3,1uF,C_0603_1608Metric,140.95,-110.15,0,bottom
C4,1uF,C_0603_1608Metric,142.2,-100.9,90,bottom
C5,100nF,C_0603_1608Metric,139.95,-102.3,180,bottom
C6,100nF,C_0603_1608Metric,147.8,-100.05,90,bottom
C7,100nF,C_0603_1608Metric,153.35,-107,0,bottom
C8,100nF,C_0603_1608Metric,147.75,-112.65,-90,bottom
C9,100nF,C_0603_1608Metric,143.65,-112.3825,-90,bottom
C10,100nF,C_0603_1608Metric,141.696992,-112.40371,-90,bottom
C11,100nF,C_0603_1608Metric,140.196992,-112.40371,-90,bottom
C12,100nF,C_0603_1608Metric,133.4125,-101.255,0,bottom
C13,15pF,C_0603_1608Metric,158.05,-103.75,90,bottom
C14,15pF,C_0603_1608Metric,156.35,-107,180,bottom
C15,1uF,C_0603_1608Metric,143.15,-116.95,-90,bottom
C16,1uF,C_0603_1608Metric,146.6,-116.95,-90,bottom
C17,1uF,C_0603_1608Metric,148.1,-116.95,-90,bottom
C18,1uF,C_0603_1608Metric,149.6,-116.95,-90,bottom
C19,1uF,C_0603_1608Metric,152.6,-116.95,-90,bottom
C20,1uF,C_0603_1608Metric,155.6,-116.95,-90,bottom
C21,4.7uF,C_0603_1608Metric,157.5,-121,-90,bottom
C22,4.7uF,C_0603_1608Metric,161.75,-117.1,0,bottom
C23,1uF,C_0603_1608Metric,151.1,-116.95,-90,bottom
C26,1uF,C_0603_1608Metric,154.1,-116.95,-90,bottom
C51,10uF,C_0603_1608Metric,142.65,-72.55,180,bottom
C52,1uF,C_0603_1608Metric,122,-68.325,-90,bottom
C53,10uF,C_0603_1608Metric,127.8,-68.25,90,bottom
C54,10uF,C_0603_1608Metric,120.5,-68.325,90,bottom
C55,10uF,C_0603_1608Metric,119,-68.325,90,bottom
C56,100nF,C_0603_1608Metric,151.7,-87.975,0,bottom
C57,47nF,C_0603_1608Metric,167.8,-64.75,90,bottom
C60,10uF,C_0603_1608Metric,168.725,-83.825,0,bottom
C61,10uF,C_0603_1608Metric,165.625,-83.825,180,bottom
C62,47pF,C_0603_1608Metric,166.3,-64.35,90,bottom
C63,39pF,C_0603_1608Metric,155.15,-64.8,180,bottom
C64,1nF,C_0603_1608Metric,158.35,-67.9,180,bottom
C65,100nF,C_0603_1608Metric,169.3,-64.45,-90,bottom
C66,100nF,C_0603_1608Metric,175.05,-70.5,-90,bottom
C67,470nF,C_0603_1608Metric,175.15,-67.05,-90,bottom
C68,3.3pF,C_0603_1608Metric,152.9,-65.55,-90,bottom
C69,3.3pF,C_0603_1608Metric,148.4,-65.525,-90,bottom
D1,D,D_SOD-123F,126.85,-83.65,180,bottom
D2,MBR0530,D_SOD-123,157.7,-125,-90,bottom
D3,MBR0530,D_SOD-123,160.1,-125,90,bottom
D4,MBR0530,D_SOD-123,157.5,-117.1,-90,bottom
FB1,BLM18AG601SN1D,R_0603_1608Metric,125.435,-76.02,-90,bottom
FL1,0900FM15D0039,Balun_Johanson_0900FM15K0039,161.3,-65.2,180,bottom
J1,USB4105,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,119.86,-80.25,90,bottom
J2,"Waveshare 1.54 E-Ink""",TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal,147,-121.45,180,bottom
L1,10uH,L_APV_ANR4018,161,-120.2,180,bottom
L9,2.2uH,L_Taiyo-Yuden_NR-30xx,125.85,-64.9,180,bottom
L10,47nH,L_0603_1608Metric,164.05,-64.45,180,bottom
L11,15uH,L_0805_2012Metric,176.85,-67.3,90,bottom
L12,9.1nH,L_0603_1608Metric,150.6625,-64.8,180,bottom
Q1,Si1308EDL,SOT-323_SC-70,139.4525,-116.74058,90,bottom
R1,1k,R_0603_1608Metric,152.405534,-105.505065,180,bottom
R2,27.4,R_0603_1608Metric,140.5,-107.15,0,bottom
R3,27.4,R_0603_1608Metric,140.5,-108.65,0,bottom
R4,5k1,R_0603_1608Metric,126.135,-81.75,0,bottom
R5,5k1,R_0603_1608Metric,126.185,-78.27,0,bottom
R6,10k,R_0603_1608Metric,153.6,-111.4,90,bottom
R7,1k,R_0603_1608Metric,136.15,-100.175,-90,bottom
R8,2.2,R_0603_1608Metric,141.6,-116.95,90,bottom
R9,1M,R_0603_1608Metric,137.3025,-116.95,90,bottom
R18,1M,R_0603_1608Metric,121.55,-71.975,0,bottom
R19,180k,R_0603_1608Metric,123.8,-72.725,-90,bottom
R20,10k,R_0603_1608Metric,162.1625,-89.6,0,bottom
R21,10k,R_0603_1608Metric,162.1125,-93.95,0,bottom
R22,10k,R_0603_1608Metric,162.124448,-98.224232,0,bottom
R23,100,R_0603_1608Metric,161.35,-67.9,180,bottom
R24,330,R_0603_1608Metric,136.75,-68.15,90,bottom
SW1,BOOTSEL,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,136.15,-93.85,-90,bottom
SW2,RESET,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,159.15,-110.65,180,bottom
SW19,PWR Switch,SW_SPDT_PCM12,133.35,-64.15,0,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,146.705,-106.65,-90,bottom
U2,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,133.6,-105,180,bottom
U3,PE4259,SOT-363_SC-70-6,158.4,-65.45,180,bottom
U4,TPS61200DRC,Texas_S-PVSON-N10_ThermalVias,124.9,-69,-90,bottom
U6,AMS1117-3.3,SOT-223-3_TabPin2,168.0125,-78.55,90,bottom
U7,PCA9555PW,TSSOP-24_4.4x7.8mm_P0.65mm,155.3,-92.85,180,bottom
U8,SX1262IMLTRT,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,171.65,-68.5875,-90,bottom
Y1,ABM8-272-T3,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,155.6,-104.15,-90,bottom
Y2,32MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,172.25,-64.1,180,bottom
